bill_url,title,published_date,status,matched_sectors,sector_main,keywords_found,risk_score,summary
https://itd.rada.gov.ua/billinfo,Пошук за реквізитами - Законотворчість,,registered/accepted,Аграрний;Корпоративний,Аграрний,підтримк;управл,6,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Сесія реєстрації:...
https://itd.rada.gov.ua/billinfo/Bills/Archive,Архів - Законотворчість,01.02.2022,registered/accepted,Аграрний;Корпоративний,Аграрний,підтримк;управл,6,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Архів Документи з фонду Верховної Ради...
https://itd.rada.gov.ua/billinfo/Bills/Files,Правила оформлення проектів - Законотворчість,,registered/accepted,Аграрний;Корпоративний,Аграрний,вій;підтримк;управл,7,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Правила оформлення проектів законів та...
https://itd.rada.gov.ua/billinfo/Bills/Period,Надходження законопроектів - Законотворчість,24.09.2025,registered/accepted,Аграрний;Соціальний;Корпоративний,Аграрний,відпустк;вій;подат;підтримк;соціал;управл,10,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Законопроекти за поточний тиждень...
https://itd.rada.gov.ua/billinfo/Bills/ProvidedDeputy,Надано народним депутатам - Законотворчість,01.07.2025,registered/accepted,Аграрний;Корпоративний,Аграрний,підтримк;управл,6,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Надано народним депутатам Інформаційні...
https://itd.rada.gov.ua/billinfo/Bills/ProvidedDeputyRelDoc,Надано народним депутатам документів до законопроектів - Законотворчість,01.07.2025,registered/accepted,Аграрний;Корпоративний,Аграрний,підтримк;управл,6,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Надано народним депутатам Інформаційні...
https://itd.rada.gov.ua/billinfo/Bills/CommBillProc,"Законопроекти, що знаходяться на опрацюванні в комітетах - Законотворчість",,registered/accepted,Аграрний;Соціальний;Корпоративний,Аграрний,аграр;охорон;подат;підтримк;соціал;управл,10,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Знаходяться на опрацюванні в комітетах...
https://itd.rada.gov.ua/billinfo/Bills/LawList,Прийняті на поточній сесії - Законотворчість,18.09.2025,registered/accepted,Аграрний;Корпоративний,Аграрний,аграр;вій;підтримк;управл,8,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Прийняті на поточній сесії Законодавчі...
https://itd.rada.gov.ua/billinfo/Bills/Card/57479,Картка законопроекту - Законотворчість,01.10.2025,registered/accepted,Аграрний;Корпоративний,Аграрний,подат;підтримк;управл,7,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57475,Картка законопроекту - Законотворчість,01.10.2025,registered/accepted,Аграрний;Соціальний;Корпоративний,Аграрний,підтримк;соціал;управл,9,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57450,Картка законопроекту - Законотворчість,01.10.2025,registered/accepted,Аграрний;Корпоративний,Аграрний,підтримк;управл,6,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57456,Картка законопроекту - Законотворчість,01.10.2025,registered/accepted,Аграрний;Соціальний;Корпоративний,Аграрний,подат;підтримк;соціал;управл,10,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57455,Картка законопроекту - Законотворчість,01.10.2025,registered/accepted,Аграрний;Соціальний;Корпоративний,Аграрний,подат;підтримк;соціал;управл,10,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57486,Картка законопроекту - Законотворчість,01.10.2025,registered/accepted,Аграрний;Корпоративний,Аграрний,подат;підтримк;управл,7,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57478,Картка законопроекту - Законотворчість,01.10.2025,registered/accepted,Аграрний;Соціальний;Корпоративний,Аграрний,вій;охорон;підтримк;управл,10,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57452,Картка законопроекту - Законотворчість,30.09.2025,registered/accepted,Аграрний;Соціальний;Корпоративний,Аграрний,відпустк;вій;підтримк;соціал;управл,10,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57476,Картка законопроекту - Законотворчість,30.09.2025,registered/accepted,Аграрний;Соціальний;Корпоративний,Аграрний,аграр;охорон;підтримк;соціал;управл,10,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
https://itd.rada.gov.ua/billinfo/Bills/Card/57425,Картка законопроекту - Законотворчість,30.09.2025,registered/accepted,Аграрний;Корпоративний,Аграрний,подат;підтримк;управл,7,РАДА Верховна Рада України Законопроекти A A A A Пошук Архів Оформлення Зареєстровані Надано Надано до ЗП На опрацюванні Прийнято A A A A Потрібно включити javascript Для коректної роботи системи необхідна підтримка браузером JavaScript. Головна Законопроекти Пошук за реквізитами Картка...
